File Name,Label,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Eigenvector_1_X,Eigenvector_2_X,Eigenvector_3_X,Eigenvector_1_Y,Eigenvector_2_Y,Eigenvector_3_Y,Eigenvector_1_Z,Eigenvector_2_Z,Eigenvector_3_Z
stairs moving_305.pcd,1,0.0770515494651422,0.0206091585435918,0.0065197416889805,0.1014200680146187,0.9876904436981824,0.1190863435965582,0.9676037426675028,-0.0701139694555508,-0.2425428384080369,-0.2312076274255482,0.1398271029324197,-0.9628039334702448
stairs moving_767.pcd,1,0.0673795308539361,0.0308113368386499,0.0172911740782347,-0.522434772700525,0.8399693403511291,-0.1466745224755818,0.7989063355998698,0.5423115178855991,0.2600901468856643,-0.2980110320302578,-0.0187009314930303,0.9543792222956
stairs moving_495.pcd,1,0.0570513981724654,0.0246799474071214,0.0062224003267219,-0.0971733869715849,0.9902717728118822,0.0995949237485683,0.9918073083071284,0.0880124346679269,0.0925854984994555,-0.0829192140160496,-0.1077758197177661,0.9907112478573784
stairs moving_123.pcd,1,0.8282021864229655,0.3122317683205572,0.0928036193913407,-0.3800850433191506,0.5669486375439229,-0.7308246042876283,-0.3292549479101929,-0.8212983695753346,-0.4658971639853081,0.8643648183040163,-0.0635470732605852,-0.4988338705002682
stairs moving_118.pcd,1,0.9253037615698366,0.1393936208631564,0.0849344675133163,-0.521008362035548,0.2245109965359393,-0.8234956582298872,0.6765861290393397,-0.4795523591917072,-0.558802957029784,0.5203666944382566,0.8483067530251704,-0.0979497630997382
stairs moving_543.pcd,1,0.0925188184304999,0.0498655731888377,0.015564421269241,-0.3701895317396544,-0.6793776093733612,-0.6335659195951998,0.6159507963569996,-0.6900493192203258,0.380048093681237,0.69538789682993,0.2495556068809126,-0.6739122138800765
stairs moving_628.pcd,1,0.3073027396725812,0.0608511041432618,0.0292825453650745,-0.5369639808462953,0.4068821865301084,-0.7389970024013477,0.3342151012861888,0.9069234964891552,0.2564956872700747,0.7745772713848259,-0.1092550127013104,-0.6229714221805641
stairs moving_678.pcd,1,0.0568501915942352,0.0393166944320544,0.0114369034886384,0.1396725697249171,-0.9871682438172236,0.0773978789454598,0.925947074531643,0.1579074257308397,0.343055768156361,-0.3508754600035884,0.0237508588871486,0.9361208833635708
stairs moving_436.pcd,1,0.1329857700769748,0.0326387007990571,0.0219536185255382,-0.0157659752464424,0.8997101958754627,0.4362029315149831,0.989012939022454,-0.0500991528364812,0.1390808445877231,0.1469858512602355,0.4336030884608678,-0.8890351630877715
stairs moving_189.pcd,1,0.1093460050004281,0.0532951754852204,0.0104388203406646,-0.4066596545674163,-0.6952211248342456,-0.5927018752554405,0.6951674531747731,-0.6564235684575109,0.2930022368856719,0.5927648246932418,0.2928748646738291,-0.7502360803431657
